qsrank	schoolname	qsstars	overall	academic	employer	faculty	international	internationalstudents	citations	arts	engineering	life	natural	social
1	Massachusetts Institute of Technology (MIT) 	6	100.00	100.00	100.00	100.00	97.60	96.30	99.70	78.70	96.30	90.90	96.30	87.40
2	Harvard University	5	99.20	100.00	100.00	99.30	94.10	85.30	100.00	89.70	85.70	98.20	92.30	96.30
3	University of Cambridge	5	99.00	100.00	100.00	99.60	95.50	96.00	95.80	93.50	90.50	91.80	97.00	91.20
4	UCL (University College London)		98.90	99.90	98.70	98.90	96.50	100.00	95.60	85.60	75.90	85.40	79.60	81.20
5	Imperial College London		98.80	99.90	100.00	99.80	99.90	99.90	92.50	59.50	88.30	85.50	89.40	74.90
6	University of Oxford	5	98.70	100.00	100.00	100.00	97.70	96.70	93.10	99.10	86.10	92.30	90.40	94.20
7	Stanford University	5	96.80	100.00	100.00	94.40	75.60	76.00	100.00	86.80	93.30	91.20	92.50	89.20
8	Yale University	5	96.50	100.00	100.00	100.00	94.40	72.70	88.80	89.00	75.20	88.60	84.30	87.40
9	University of Chicago	5	96.20	99.90	94.30	96.20	78.80	74.90	97.80	83.70	69.60	80.20	82.80	86.30
10	California Institute of Technology (Caltech)	5	96.10	99.60	69.20	100.00	92.20	87.70	100.00	53.20	85.80	73.30	91.40	60.80
11	Princeton University	5	96.10	100.00	95.10	96.30	76.30	68.80	98.80	86.50	81.60	74.10	89.20	84.40
12	ETH Zurich (Swiss Federal Institute of Technology)		94.30	99.90	97.90	76.50	100.00	98.40	94.90	60.90	89.50	81.10	91.90	0.00
13	University of Pennsylvania	5	93.80	98.40	93.80	99.90	55.00	69.80	92.70	76.70	74.60	85.00	77.10	83.80
14	Columbia University	5	93.60	100.00	100.00	95.90	16.20	78.80	96.80	84.30	77.00	84.20	83.60	87.70
15	Cornell University	5	92.50	99.80	97.80	75.10	87.80	64.60	99.20	75.30	80.60	82.70	85.70	78.20
16	Johns Hopkins University		92.10	96.00	64.10	100.00	78.90	69.70	97.80	66.30	69.90	91.60	75.10	67.60
17	University of Edinburgh		91.30	99.70	98.30	75.10	89.80	97.30	84.50	82.00	74.90	82.80	81.00	75.90
18	University of Toronto		91.30	99.90	95.90	78.80	97.70	86.80	82.20	80.30	80.20	85.10	83.30	79.20
19	Ecole Polytechnique Fédérale de Lausanne 		90.90	87.90	88.30	94.50	100.00	100.00	88.20	0.00	86.40	72.30	86.00	0.00
20	King's College London (KCL)	5	90.90	94.60	93.70	89.90	93.90	96.60	79.30	80.60	68.20	84.70	67.30	77.40
21	McGill University		90.60	99.10	95.70	90.20	81.10	90.20	72.20	76.70	74.80	81.90	79.50	77.50
22	University of Michigan	5	90.50	99.80	95.00	92.70	44.00	45.90	88.70	74.90	80.70	83.90	81.20	82.00
23	Duke University	5	90.10	96.20	85.80	99.90	16.40	44.40	98.40	74.40	70.50	86.50	76.10	77.00
24	National University of Singapore (NUS)		89.40	100.00	99.90	89.10	100.00	96.60	57.30	79.20	87.20	81.50	86.50	87.30
25	University of California, Berkeley (UCB)		89.00	100.00	100.00	52.10	93.90	74.70	98.90	87.20	90.20	85.60	93.40	87.30
26	University of Hong Kong		88.60	99.40	93.10	94.70	100.00	98.70	51.70	73.20	76.50	79.40	76.70	81.50
27	Australian National University	6	88.50	99.70	92.40	83.40	99.90	94.10	63.20	79.50	74.20	71.50	79.90	81.40
28	Ecole normale supérieure, Paris		87.80	89.70	77.40	97.10	58.70	52.10	94.30	64.00	0.00	0.00	76.20	0.00
29	Northwestern University		87.30	92.90	90.70	87.20	12.00	55.40	99.50	65.10	78.20	76.60	81.60	79.40
30	University of Bristol		86.60	92.20	98.30	78.60	83.70	81.00	78.10	70.00	71.10	76.60	78.50	70.70
31	The University of Melbourne		86.00	99.80	100.00	50.10	81.50	96.60	84.00	78.60	79.50	83.00	80.40	83.00
32	The University of Tokyo		85.70	100.00	99.30	91.40	11.10	27.30	76.30	78.50	81.20	80.80	84.40	77.60
33	The University of Manchester		85.20	99.20	100.00	66.20	84.50	96.00	64.70	74.60	79.80	79.90	80.80	79.60
34	The Hong Kong University of Science and Technology		84.40	93.30	90.60	86.50	100.00	98.60	52.60	54.80	81.20	57.40	79.10	78.80
35	Kyoto University		84.10	99.90	92.10	94.80	16.50	22.90	68.40	72.80	77.20	78.30	82.20	72.40
36	Seoul National University	6	84.10	98.70	93.60	87.00	47.20	60.40	60.90	66.80	76.30	73.20	78.50	75.60
37	University of Wisconsin-Madison	5	83.00	97.40	69.70	91.80	56.90	36.00	68.70	68.50	73.30	80.50	79.40	74.10
38	The University of Sydney		82.90	99.50	98.00	50.10	99.70	87.20	68.40	78.50	76.10	79.30	76.40	79.90
39	The Chinese University of Hong Kong		82.30	94.50	83.30	87.90	95.80	81.70	47.10	68.40	72.70	71.60	71.40	78.00
40	University of California, Los Angeles (UCLA)		81.90	100.00	98.00	47.70	2.30	43.60	100.00	84.00	82.80	89.00	86.50	82.80
41	Ecole Polytechnique		81.10	74.10	97.50	99.90	72.00	91.40	66.20	0.00	76.90	0.00	78.30	57.20
42	Nanyang Technological University (NTU)	6	81.10	92.40	94.10	90.10	100.00	97.10	33.00	62.90	83.30	62.90	78.00	77.60
43	The University of Queensland	6	80.90	95.70	91.90	49.80	98.80	86.80	69.30	70.80	76.60	77.80	79.20	77.20
44	New York University (NYU)	5	80.80	98.40	92.00	94.90	23.50	60.00	43.80	84.10	68.00	80.10	74.10	84.20
45	University of Copenhagen		80.50	89.00	78.90	99.70	67.50	37.50	57.40	72.10	68.40	80.60	77.60	74.90
46	Peking University		80.00	99.80	98.80	79.00	64.50	32.10	46.50	77.10	77.80	72.70	83.00	80.60
47	Brown University		79.80	81.10	65.50	85.20	23.50	55.80	97.60	72.40	69.90	68.90	74.80	68.40
48	Tsinghua University		79.70	99.30	99.10	88.60	48.70	38.90	38.30	68.90	84.60	69.80	80.60	77.10
49	University of British Columbia		79.40	99.60	86.50	35.40	83.40	53.50	83.40	75.90	75.70	80.10	81.90	79.90
50	Ruprecht-Karls-Universität Heidelberg		79.30	96.40	64.10	86.00	52.70	61.60	55.60	74.90	64.30	81.10	79.50	65.90
51	University of Glasgow		78.90	86.40	80.10	52.70	81.20	84.70	85.90	68.70	69.10	76.50	70.90	68.90
52	The University of New South Wales	6	78.80	96.50	98.60	40.20	100.00	95.80	61.20	69.40	78.90	75.00	78.60	81.00
53	Technische Universität München		78.50	90.70	96.10	95.50	51.00	57.70	39.10	0.00	81.90	74.20	85.00	60.30
54	University of North Carolina, Chapel Hill		77.00	83.90	56.30	78.80	43.60	22.10	92.40	66.30	66.40	81.00	71.90	70.70
55	Osaka University		76.90	91.70	80.50	93.20	14.90	19.90	57.70	57.30	73.00	77.80	75.70	61.10
56	University of Illinois at Urbana-Champaign		76.70	97.90	77.50	23.60	67.60	62.60	91.30	65.90	80.20	68.50	79.90	69.30
57	Carnegie Mellon University		76.60	85.80	82.60	46.40	18.60	98.00	93.40	61.80	81.20	54.60	73.80	68.70
58	University of Amsterdam		76.40	93.80	83.90	41.10	67.00	30.60	85.70	70.80	67.40	76.90	72.90	75.30
59	University of Washington		76.20	95.20	54.60	54.70	8.70	22.30	99.50	66.50	73.80	85.50	81.70	69.60
60	KAIST - Korea Advanced Institute of Science & Technology		75.80	85.10	72.80	90.80	40.70	21.80	64.50	46.50	78.30	63.30	78.60	62.40
61	Trinity College Dublin		75.10	81.80	82.60	59.80	98.00	78.70	65.40	70.30	72.50	74.20	71.70	69.10
62	University of Birmingham		74.90	81.30	90.40	57.30	81.60	80.00	67.40	68.60	71.80	74.40	72.60	71.40
63	University of California, San Diego (UCSD)		74.80	98.00	50.40	45.50	2.10	22.30	99.80	66.20	74.30	87.90	79.10	68.90
64	The University of Warwick		74.50	89.40	100.00	47.10	91.60	98.00	47.70	71.60	67.10	65.20	75.10	80.10
65	Ludwig-Maximilians-Universität München		74.40	98.40	84.30	45.40	46.30	43.00	63.80	75.60	70.20	80.50	83.70	71.50
66	Tokyo Institute of Technology		74.20	79.80	84.60	76.80	15.00	35.10	78.30	42.70	77.20	57.70	78.70	0.00
67	Lund University	5	74.00	89.60	90.00	50.80	51.40	52.40	67.70	68.50	72.40	74.20	77.20	72.60
68	London School of Economics and Political Science (LSE)		73.90	92.60	100.00	63.50	100.00	100.00	19.60	76.50	0.00	0.00	0.00	95.20
69	Monash University	6	73.70	94.10	98.00	34.60	89.50	90.70	50.10	70.50	76.00	76.00	74.00	76.30
70	University of Helsinki		73.70	84.30	55.70	92.90	56.80	14.70	59.90	71.60	66.50	77.20	75.50	71.10
71	The University of Sheffield		73.30	79.30	84.70	59.40	80.40	91.40	62.00	65.20	70.80	75.00	70.70	66.90
72	University of Geneva		73.30	66.60	36.90	64.80	100.00	99.00	98.90	65.70	60.00	76.60	74.40	63.10
73	University of Texas at Austin		73.30	98.50	87.90	21.10	57.90	26.50	82.00	75.30	80.70	68.10	82.80	76.20
74	Leiden University		73.20	86.60	59.80	44.50	68.80	22.70	94.30	75.60	63.20	77.00	72.20	67.70
75	The University of Nottingham		73.10	80.30	98.00	54.80	84.80	87.70	56.50	65.60	70.90	72.80	70.10	71.50
76	Tohoku University		73.10	81.80	76.00	97.90	18.50	21.20	54.90	53.40	72.20	67.70	76.50	55.60
77	Katholieke Universiteit Leuven 		73.00	93.10	79.60	21.70	74.90	44.30	86.20	71.70	77.60	76.10	76.40	74.70
78	University of Zurich		72.90	80.60	67.60	70.90	99.70	52.20	59.20	69.20	63.80	79.30	73.80	71.30
79	Boston University	5	72.50	75.60	81.50	64.90	12.70	63.70	85.30	68.80	67.40	81.20	72.00	70.10
80	Uppsala University		72.50	86.30	70.10	38.60	41.00	48.90	92.50	69.30	67.10	78.00	76.20	67.90
81	Utrecht University		72.30	84.90	63.20	46.50	55.70	18.10	93.70	68.40	64.10	77.70	77.50	67.10
82	National Taiwan University (NTU)		72.00	97.50	76.40	39.90	17.50	14.90	77.40	66.80	75.20	73.30	77.90	72.30
83	University of St Andrews		71.60	66.20	78.40	67.80	95.90	99.90	68.50	71.20	63.80	57.90	72.20	60.80
84	The University of Western Australia		71.40	77.50	79.20	38.60	99.90	75.20	78.80	63.70	67.10	71.80	68.90	65.90
85	University of California, Davis		71.30	83.80	48.60	38.70	68.90	41.30	96.90	56.10	70.50	78.60	78.60	63.10
86	University of Southampton		71.00	73.90	65.80	61.00	87.00	89.20	67.90	59.80	71.80	71.10	72.70	62.50
87	Washington University in St. Louis		71.00	62.10	36.70	99.80	7.20	50.60	96.70	54.90	63.20	83.30	67.70	62.70
88	Fudan University		70.80	92.50	92.90	40.40	18.30	46.50	64.90	66.30	72.00	70.30	78.60	73.50
89	University of Oslo		70.60	72.40	50.80	83.20	46.30	44.50	75.40	64.60	62.70	73.20	69.50	70.10
90	Durham University		70.40	75.30	98.70	48.90	89.70	76.30	60.40	75.00	61.30	53.80	76.50	69.40
91	Aarhus University		70.30	75.10	60.10	59.90	66.90	53.70	80.00	67.60	69.00	74.90	73.20	73.10
92	Erasmus University Rotterdam		70.20	54.50	91.50	68.70	75.40	57.20	93.20	52.30	59.40	77.60	0.00	80.70
93	Université de Montréal 	6	70.20	79.00	59.60	37.30	87.00	82.60	82.40	67.90	69.70	74.00	69.90	71.40
94	The University of Auckland		69.80	92.10	88.00	27.90	89.70	89.10	47.10	68.60	71.80	74.70	70.60	73.30
95	Delft University of Technology		69.40	79.80	81.80	36.60	90.20	74.80	67.30	57.50	83.10	56.20	0.00	59.40
